epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives
0,0.8999999761581421,0.0,0.0,2.0,0.4321962296962738,0.0,0.0,18.0,0.0
1,0.824999988079071,0.0,0.0,7.0,0.4712081849575043,0.0,0.0,33.0,0.0
2,0.75,0.0,0.0,15.0,0.6234733462333679,0.0,0.0,45.0,0.0
3,0.7124999761581421,0.0,0.0,23.0,0.601378321647644,0.0,0.0,57.0,0.0
4,0.7400000095367432,0.0,0.0,26.0,0.558459997177124,0.0,0.0,74.0,0.0
5,0.75,0.8622499704360962,4.0,26.0,0.5308184027671814,0.380952388048172,0.800000011920929,74.0,16.0
6,0.7571428418159485,0.8632500171661377,8.0,26.0,0.5105642080307007,0.5517241358757019,0.800000011920929,74.0,32.0
7,0.731249988079071,0.8288334012031555,17.0,26.0,0.5229361057281494,0.6231883764266968,0.7166666388511658,74.0,43.0
8,0.7333333492279053,0.8190625905990601,22.0,26.0,0.5295824408531189,0.6904761791229248,0.7250000238418579,74.0,58.0
9,0.7400000095367432,0.8209000825881958,26.0,26.0,0.5272723436355591,0.7400000095367432,0.7400000095367432,74.0,74.0
