number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_kernel_size,params_num_dense_nodes,params_num_filters,params_strides,state
0,0.3834415376186371,2021-09-06 23:41:12.764720,2021-09-07 00:09:02.361784,0 days 00:27:49.597064,relu,16,4,128,32,1,COMPLETE
1,0.5052585005760193,2021-09-07 00:09:02.361784,2021-09-07 00:34:26.553531,0 days 00:25:24.191747,selu,16,2,32,16,2,COMPLETE
2,0.2780081033706665,2021-09-07 00:34:26.553531,2021-09-07 01:00:13.208338,0 days 00:25:46.654807,selu,64,4,64,32,1,COMPLETE
3,0.5979090929031372,2021-09-07 01:00:13.208338,2021-09-07 01:25:25.683406,0 days 00:25:12.475068,sigmoid,96,4,1024,48,2,COMPLETE
4,0.6807581782341003,2021-09-07 01:25:25.683406,2021-09-07 01:54:35.322253,0 days 00:29:09.638847,tanh,32,2,128,128,1,COMPLETE
5,0.6326660513877869,2021-09-07 01:54:35.322253,2021-09-07 02:21:55.985825,0 days 00:27:20.663572,sigmoid,32,4,64,256,2,COMPLETE
6,0.4200490713119507,2021-09-07 02:21:55.985825,2021-09-07 02:47:12.213417,0 days 00:25:16.227592,relu,64,3,128,48,2,COMPLETE
7,0.5376924276351929,2021-09-07 02:47:12.213417,2021-09-07 03:12:35.561762,0 days 00:25:23.348345,sigmoid,96,3,32,32,2,COMPLETE
8,0.6608275175094604,2021-09-07 03:12:35.561762,2021-09-07 03:38:06.540572,0 days 00:25:30.978810,tanh,64,3,64,32,1,COMPLETE
9,0.6354235410690308,2021-09-07 03:38:06.540572,2021-09-07 04:03:38.808784,0 days 00:25:32.268212,tanh,64,4,64,16,1,COMPLETE
