epoch,accuracy,auc,false_negatives_3,false_positives_3,loss,precision,recall,true_negatives_3,true_positives_3
0,0.75,0.8237500190734863,5.0,5.0,0.6735517382621765,0.75,0.75,15.0,15.0
1,0.75,0.8524999618530273,10.0,10.0,0.6694051623344421,0.75,0.75,30.0,30.0
2,0.75,0.8222222328186035,15.0,15.0,0.6722334623336792,0.75,0.75,45.0,45.0
3,0.7749999761581421,0.8431249856948853,18.0,18.0,0.6707251667976379,0.7749999761581421,0.7749999761581421,62.0,62.0
4,0.800000011920929,0.8646500110626221,20.0,20.0,0.6694360375404358,0.800000011920929,0.800000011920929,80.0,80.0
5,0.800000011920929,0.874340295791626,24.0,24.0,0.6682854890823364,0.800000011920929,0.800000011920929,96.0,96.0
6,0.8071428537368774,0.8797703981399536,27.0,27.0,0.6685982942581177,0.8071428537368774,0.8071428537368774,113.0,113.0
7,0.8062499761581421,0.8829101324081421,31.0,31.0,0.6679514646530151,0.8062499761581421,0.8062499761581421,129.0,129.0
8,0.8055555820465088,0.8857870101928711,35.0,35.0,0.6683383584022522,0.8055555820465088,0.8055555820465088,145.0,145.0
9,0.8149999976158142,0.8913124799728394,37.0,37.0,0.6681804060935974,0.8149999976158142,0.8149999976158142,163.0,163.0
10,0.7636363506317139,0.832572340965271,52.0,52.0,0.6721990704536438,0.7636363506317139,0.7636363506317139,168.0,168.0
11,0.7250000238418579,0.768541693687439,66.0,66.0,0.6761274933815002,0.7250000238418579,0.7250000238418579,174.0,174.0
12,0.6961538195610046,0.7246301174163818,79.0,79.0,0.6794942021369934,0.6961538195610046,0.6961538195610046,181.0,181.0
13,0.6607142686843872,0.6866008043289185,95.0,95.0,0.68199223279953,0.6607142686843872,0.6607142686843872,185.0,185.0
14,0.6399999856948853,0.6590166687965393,108.0,108.0,0.6838260889053345,0.6399999856948853,0.6399999856948853,192.0,192.0
15,0.6156250238418579,0.6207665801048279,123.0,123.0,0.6865795254707336,0.6156250238418579,0.6156250238418579,197.0,197.0
16,0.5882353186607361,0.5918641686439514,140.0,140.0,0.6884120106697083,0.5882353186607361,0.5882353186607361,200.0,200.0
17,0.5583333373069763,0.5571527481079102,159.0,159.0,0.6906352043151855,0.5583333373069763,0.5583333373069763,201.0,201.0
18,0.5368421077728271,0.5399653911590576,176.0,176.0,0.6917276382446289,0.5368421077728271,0.5368421077728271,204.0,204.0
19,0.5249999761581421,0.5245406627655029,190.0,190.0,0.6926061511039734,0.5249999761581421,0.5249999761581421,210.0,210.0
