epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.4962500035762787,0.5167722105979919,165.0,238.0,0.9418482780456543,0.4989473819732666,0.5895522236824036,160.0,237.0,0.5440000295639038,0.5779359936714172,422.0,34.0,0.6895672082901001,0.6964285969734192,0.15600000321865082,466.0,78.0
1,0.5074999928474426,0.5136250257492065,199.0,195.0,0.7010563611984253,0.5063291192054749,0.5012531280517578,206.0,200.0,0.5040000081062317,0.6303240060806274,2.0,494.0,0.6877395510673523,0.5020161271095276,0.9959999918937683,6.0,498.0
2,0.5612499713897705,0.5426068305969238,185.0,166.0,0.7231641411781311,0.5464481115341187,0.5194805264472961,249.0,200.0,0.5099999904632568,0.6730660200119019,2.0,488.0,0.6893731355667114,0.5050709843635559,0.9959999918937683,12.0,498.0
3,0.5562499761581421,0.5548853278160095,147.0,208.0,0.7106301784515381,0.5377777814865112,0.622107982635498,203.0,242.0,0.5740000009536743,0.609145998954773,373.0,53.0,0.6834575533866882,0.7055555582046509,0.2540000081062317,447.0,127.0
4,0.5724999904632568,0.5800368785858154,159.0,183.0,0.6849868893623352,0.5869074463844299,0.620525062084198,198.0,260.0,0.5730000138282776,0.6632459759712219,59.0,368.0,0.6685484647750854,0.5451174378395081,0.8820000290870667,132.0,441.0
5,0.6050000190734863,0.6230351328849792,126.0,190.0,0.6856195330619812,0.5896328091621399,0.6842105388641357,211.0,273.0,0.6240000128746033,0.6765219569206238,197.0,179.0,0.6503710746765137,0.6286306977272034,0.6060000061988831,321.0,303.0
6,0.5962499976158142,0.6177627444267273,144.0,179.0,0.6894288659095764,0.579812228679657,0.6317135691642761,230.0,247.0,0.6079999804496765,0.637861967086792,270.0,122.0,0.6682338714599609,0.6534090638160706,0.46000000834465027,378.0,230.0
7,0.59375,0.621018648147583,148.0,177.0,0.6819259524345398,0.5854800939559937,0.6281406879425049,225.0,250.0,0.5789999961853027,0.6913959980010986,48.0,373.0,0.6633859872817993,0.5478788018226624,0.9039999842643738,127.0,452.0
8,0.6212499737739563,0.6566979289054871,136.0,167.0,0.6709771156311035,0.6033254265785217,0.6512820720672607,243.0,254.0,0.6449999809265137,0.7004460096359253,202.0,153.0,0.6339489221572876,0.6607539057731628,0.5960000157356262,347.0,298.0
9,0.65625,0.6913103461265564,125.0,150.0,0.6396039128303528,0.6559633016586304,0.6958637237548828,239.0,286.0,0.6610000133514404,0.7108920216560364,133.0,206.0,0.6298285126686096,0.6404886841773987,0.734000027179718,294.0,367.0
10,0.6262500286102295,0.6606566905975342,143.0,156.0,0.6576350331306458,0.6258992552757263,0.646039605140686,240.0,261.0,0.6299999952316284,0.725752055644989,54.0,316.0,0.6460781097412109,0.5853018164634705,0.8920000195503235,184.0,446.0
11,0.6412500143051147,0.6907973885536194,137.0,150.0,0.6388472318649292,0.6277915835380554,0.6487179398536682,260.0,253.0,0.656000018119812,0.722506046295166,214.0,130.0,0.6138098239898682,0.6875,0.5720000267028809,370.0,286.0
12,0.6225000023841858,0.6616818308830261,150.0,152.0,0.6684101223945618,0.6256157755851746,0.6287128925323486,244.0,254.0,0.6729999780654907,0.7391480207443237,167.0,160.0,0.5987048149108887,0.6754564046859741,0.6660000085830688,340.0,333.0
13,0.6775000095367432,0.7285657525062561,134.0,124.0,0.6118937134742737,0.6684492230415344,0.6510416865348816,292.0,250.0,0.6679999828338623,0.7269999980926514,172.0,160.0,0.6069570779800415,0.6721311211585999,0.656000018119812,340.0,328.0
14,0.637499988079071,0.6923896670341492,146.0,144.0,0.6527900099754333,0.6619718074798584,0.65887850522995,228.0,282.0,0.6340000033378601,0.7188820242881775,100.0,266.0,0.6266712546348572,0.6006006002426147,0.800000011920929,234.0,400.0
15,0.6800000071525574,0.7231288552284241,117.0,139.0,0.6182363629341125,0.6826484203338623,0.71875,245.0,299.0,0.6899999976158142,0.7636719346046448,106.0,204.0,0.5858972668647766,0.6588628888130188,0.7879999876022339,296.0,394.0
16,0.6650000214576721,0.7150941491127014,134.0,134.0,0.6306563019752502,0.6778846383094788,0.6778846383094788,250.0,282.0,0.6949999928474426,0.7629340291023254,112.0,193.0,0.5872802734375,0.6678141355514526,0.7760000228881836,307.0,388.0
17,0.668749988079071,0.7245275378227234,126.0,139.0,0.6181454062461853,0.6618005037307739,0.6834170818328857,263.0,272.0,0.6819999814033508,0.7574700713157654,239.0,79.0,0.607282817363739,0.7676470875740051,0.5220000147819519,421.0,261.0
18,0.6812499761581421,0.7377246022224426,123.0,132.0,0.6143277883529663,0.6811594367027283,0.6962962746620178,263.0,282.0,0.6800000071525574,0.7800019383430481,265.0,55.0,0.5943159461021423,0.8103448152542114,0.4699999988079071,445.0,235.0
19,0.6899999976158142,0.7398126125335693,121.0,127.0,0.6049507260322571,0.6954436302185059,0.7055960893630981,262.0,290.0,0.7080000042915344,0.7785919308662415,184.0,108.0,0.5739622712135315,0.7452830076217651,0.6320000290870667,392.0,316.0
20,0.7012500166893005,0.7537128329277039,111.0,128.0,0.5905507802963257,0.686274528503418,0.7161125540733337,281.0,280.0,0.6729999780654907,0.7750340104103088,248.0,79.0,0.597811758518219,0.7613292932510376,0.5040000081062317,421.0,252.0
21,0.6949999928474426,0.7467724680900574,130.0,114.0,0.61687171459198,0.7084398865699768,0.6805896759033203,279.0,277.0,0.6790000200271606,0.7763700485229492,84.0,237.0,0.5804920792579651,0.63705974817276,0.8320000171661377,263.0,416.0
22,0.6787499785423279,0.7503580451011658,130.0,127.0,0.5926646590232849,0.6709844470024109,0.6658097505569458,284.0,259.0,0.6949999928474426,0.7884900569915771,73.0,232.0,0.5815848708152771,0.6479514241218567,0.8539999723434448,268.0,427.0
23,0.6637499928474426,0.7299857139587402,119.0,150.0,0.6082253456115723,0.6583143472671509,0.7083333134651184,242.0,289.0,0.7210000157356262,0.7936880588531494,146.0,133.0,0.5529367327690125,0.7268993854522705,0.7080000042915344,367.0,354.0
24,0.6675000190734863,0.7277512550354004,129.0,137.0,0.6158670783042908,0.6682808995246887,0.6814814805984497,258.0,276.0,0.7300000190734863,0.797406017780304,141.0,129.0,0.5503033399581909,0.7356557250022888,0.7179999947547913,371.0,359.0
25,0.6987500190734863,0.7726991176605225,120.0,121.0,0.579127311706543,0.7012345790863037,0.7029703259468079,275.0,284.0,0.6990000009536743,0.7989720106124878,67.0,234.0,0.5770447850227356,0.6491754055023193,0.8659999966621399,266.0,433.0
26,0.6762499809265137,0.7345170974731445,118.0,141.0,0.6066752672195435,0.6658768057823181,0.7042606472969055,260.0,281.0,0.7120000123977661,0.7946240305900574,96.0,192.0,0.5626354217529297,0.6778523325920105,0.8080000281333923,308.0,404.0
