epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.5037500262260437,0.48796287178993225,167.0,230.0,0.9069471955299377,0.5095948576927185,0.5886699557304382,164.0,239.0,0.5690000057220459,0.5822179317474365,331.0,100.0,0.6909729838371277,0.6282528042793274,0.33799999952316284,400.0,169.0
1,0.5649999976158142,0.5539273023605347,141.0,207.0,0.7018060088157654,0.551948070526123,0.6439393758773804,197.0,255.0,0.5450000166893005,0.6445479989051819,442.0,13.0,0.6831029653549194,0.8169013857841492,0.11599999666213989,487.0,58.0
2,0.5262500047683716,0.5441350340843201,182.0,197.0,0.6947830319404602,0.5195121765136719,0.5392404794692993,208.0,213.0,0.5640000104904175,0.623602032661438,392.0,44.0,0.6819704174995422,0.7105262875556946,0.2160000056028366,456.0,108.0
3,0.5575000047683716,0.5670651793479919,166.0,188.0,0.7052900195121765,0.563805103302002,0.5941320061683655,203.0,243.0,0.6000000238418579,0.6811820268630981,89.0,311.0,0.669219970703125,0.569252073764801,0.8220000267028809,189.0,411.0
4,0.606249988079071,0.6099871397018433,155.0,160.0,0.6804218292236328,0.6029776930809021,0.6105527877807617,242.0,243.0,0.5960000157356262,0.6774640083312988,108.0,296.0,0.6521192193031311,0.569767415523529,0.7839999794960022,204.0,392.0
5,0.625,0.6482759118080139,139.0,161.0,0.6696407794952393,0.6193853616714478,0.6533665657043457,238.0,262.0,0.5669999718666077,0.637213945388794,422.0,11.0,0.6883773803710938,0.8764045238494873,0.15600000321865082,489.0,78.0
6,0.6212499737739563,0.645135223865509,165.0,138.0,0.6670589447021484,0.625,0.5822784900665283,267.0,230.0,0.6370000243186951,0.7007360458374023,140.0,223.0,0.6324467062950134,0.6174957156181335,0.7200000286102295,277.0,360.0
7,0.6424999833106995,0.6665635108947754,153.0,133.0,0.6716409921646118,0.6563307642936707,0.624078631401062,260.0,254.0,0.6389999985694885,0.725007951259613,110.0,251.0,0.627968966960907,0.6084243655204773,0.7799999713897705,249.0,390.0
8,0.6274999976158142,0.6617619395256042,149.0,149.0,0.6534069776535034,0.6435406804084778,0.6435406804084778,233.0,269.0,0.6110000014305115,0.7115300297737122,108.0,281.0,0.6302825808525085,0.5824665427207947,0.7839999794960022,219.0,392.0
9,0.6412500143051147,0.678673505783081,146.0,141.0,0.6572827100753784,0.6492537260055542,0.6412776708602905,252.0,261.0,0.6579999923706055,0.7082239389419556,174.0,168.0,0.6176219582557678,0.659919023513794,0.6520000100135803,332.0,326.0
10,0.6549999713897705,0.6936137676239014,139.0,137.0,0.6334275007247925,0.6549118161201477,0.6516290903091431,264.0,260.0,0.6669999957084656,0.7337859272956848,131.0,202.0,0.6060274839401245,0.6462346911430359,0.7379999756813049,298.0,369.0
